t,pos,vel,acc,robot
3.79,-1.034475249,-0.461782762,2.375792193,0.020849903
3.8,-1.038973248,-0.437816908,2.396585341,0.023349903
3.81,-1.043230539,-0.413641411,2.417549749,0.025849903
3.82,-1.047245016,-0.389253953,2.438745758,0.028349903
3.83,-1.051014544,-0.36465161,2.460234286,0.030849903
3.84,-1.054536956,-0.339830842,2.48207681,0.033349903
3.85,-1.057810048,-0.314787489,2.504335336,0.035849903
3.86,-1.060831569,-0.289516765,2.527072378,0.038349903
3.87,-1.063599219,-0.264013256,2.550350938,0.040849903
3.88,-1.06611064,-0.238270911,2.574234485,0.043349903
3.89,-1.06836341,-0.212283041,2.598786943,0.045849903
3.9,-1.070355036,-0.186042315,2.624072671,0.048349903
3.91,-1.072082952,-0.15954075,2.650156451,0.050849903
3.92,-1.073544504,-0.132769715,2.677103475,0.053349903
3.93,-1.074736952,-0.105719922,2.70497933,0.055849903
3.94,-1.075657459,-0.078381422,2.733849989,0.058349903
3.95,-1.076303084,-0.050743604,2.763781797,0.060849903
3.96,-1.076670778,-0.02279519,2.794841457,0.063349903
3.97,-1.076757375,0.005475771,2.827096018,0.065849903
3.98,-1.076559587,0.034081899,2.860612858,0.068349903
3.99,-1.076073995,0.063036496,2.895459668,0.070849903
4,-1.075297045,0.09235354,2.931704435,0.073349903
4.01,-1.074225039,0.122047694,2.969415413,0.075849903
4.02,-1.072854129,0.152134305,3.008661102,0.078349903
4.03,-1.07118031,0.182629407,3.049510216,0.080849903
4.04,-1.069199414,0.213549724,3.092031648,0.083349903
4.05,-1.066907102,0.244912668,3.136294428,0.085849903
4.06,-1.064298857,0.276736345,3.182367674,0.088349903
4.07,-1.061369978,0.30903955,3.230320538,0.090849903
4.08,-1.058115571,0.341841772,3.280222141,0.093349903
4.09,-1.054530546,0.375163187,3.332141497,0.095849903
4.1,-1.050609607,0.409024661,3.38614743,0.098349903
4.11,-1.046347245,0.443447746,3.442308479,0.100849903
4.12,-1.041737733,0.478454674,3.50069278,0.103349903
4.13,-1.036775118,0.514068353,3.56136795,0.105849903
4.14,-1.031453214,0.550312362,3.624400935,0.108349903
4.15,-1.025765598,0.587210941,3.689857859,0.110849903
4.16,-1.019705598,0.624788979,3.757803835,0.113349903
4.17,-1.013266293,0.663072007,3.82830277,0.115849903
4.18,-1.006440502,0.702086178,3.901417133,0.118349903
4.19,-0.99922078,0.741858255,3.977207704,0.120849903
4.2,-0.991599411,0.782415588,4.055733296,0.123349903
4.21,-0.983568403,0.823786093,4.137050436,0.125849903
4.22,-0.975119481,0.865998223,4.221213024,0.128349903
4.23,-0.966244085,0.909080942,4.308271946,0.130849903
4.24,-0.956933362,0.953063689,4.398274653,0.133349903
4.25,-0.947178162,0.997976336,4.491264693,0.135849903
4.26,-0.936969034,1.043849148,4.587281201,0.138349903
4.27,-0.926296225,1.090712731,4.686358334,0.140849903
4.28,-0.915149672,1.138597978,4.788524657,0.143349903
4.29,-0.903519002,1.187536003,4.893802469,0.145849903
